alphanumeric sort	按字母数字顺序排列
Auto-recover	自动恢复
crop mark	裁剪标记
Microsoft System Center Data Protection Manager 2006 Administrator Console	Microsoft 系统中心数据保护管理器 2006 管理控制台
browser-compatible form template	浏览器兼容的表单模板
Black metal	黑色金属
daemon	守护程序
action row	操作行
object construction	对象构造
aggregate	聚合
Microsoft Solutions Framework	Microsoft Solutions Framework
MSF	MSF
Managed Extensions for C++	Managed Extensions for C++
fixed asset group	固定资产组
input focus appearance	输入点外观
feature	功能
provisioning request	设置请求
active	可用
game pad	游戏板
AAM	AAM
Admin Approval Mode	管理员批准模式
argument	自变量
shared control	共享控件
reliability	可靠性
CJK Strokes	CJK 笔划
precompilation	预编译
exit code	退出代码
rehydrate	解除冻结
spread by ratio	按比率分配
image resolution	图像解析度
context	上下文
bitmap effect	位图效果
file port	文件端口
just-in-time	实时
JIT	JIT
public FQDN	公共 FQDN
pull quote	重要引述
virtual machine monitor	虚拟机监控程序
hypervisor	虚拟机监控程序
PRINT SCREEN key	PRINT SCREEN 键
Status Unavailable Contacts	状态不可用的联系人
Manage Database	管理数据库
idle-state power management	空闲状态电源管理
Metadata Cache Manager	元数据缓存管理器
BAML	BAML
Binary Application Markup Language	二进制应用程序标记语言
character	字符
Control Panel Home	控制面板主页
WRP	WRP
Windows Resource Protection	Windows 资源保护
desktop toolbar	桌面工具栏
access bar	访问工具栏
freight terms	货运条款
frame relay	帧中继
in progress	正在进行
freeze	冻结
operator overloading	运算符重载
OTB	OTB
report	报表
computer name	计算机名
multidimensional expression	多维表达式
MDX	MDX
import media pool	导入媒体池
matrix	矩阵
content replication	内容复制
update statistics	更新统计信息
Go To Tab	转到标签
stop	停止
generics	泛型
parametric polymorphism	参数多态
ASPX	ASPX
client account partner discovery Web page	客户端帐户伙伴发现网页
clock	时钟
system clock	系统时钟
millisecond	毫秒
charge	费用
account partner	帐户伙伴
Knowledge Consistency Checker	知识一致性检查
direct mail	直邮邮件
alert forwarding	转发警报
FTP adapter	FTP 适配器
scroll box	滚动框
service life	使用年限
logistic regression	逻辑回归
pilot number	引导号码
UM access telephone number	统一消息访问电话号码
ellipsis	省略号
HORIZONTAL ELLIPSIS	水平省略号
AVDP	AVDP
Anchor Volume Descriptor Pointer	定位卷描述符指针
expired virtual machine	过期的虚拟机
Summary toolbar	摘要工具栏
Mobile	移动
Bulk E-mail	批量电子邮件
split form	分割窗体
Server Message Block	服务器消息块
SMB	SMB
commercial printing	专业印刷
inline alert	嵌入式警报
cable	电缆
parent window	父窗口
multiple-tree forest topology	多级树状林拓扑结构
1099 report	1099 报表
distribution folder	分发文件夹
class driver	类驱动器
genuine	正版
password policy	密码策略
Domain Name System	域名系统
DNS	DNS
rollover file	滚动更新文件
polyline	折线
balance sheet account	资产负债表科目
XrML	XrML
extensible rights markup language	可扩展权限标记语言
disk controller	磁盘控制器
close date	截止日期
Comfy Cakes	Comfy Cakes
Drum Solo	鼓独奏
shared workbook	共享工作簿
grep	grep
view state	视图状态
DRAM	DRAM
dynamic RAM	动态 RAM
dynamic random access memory	动态随机存取存储器
modem server	调制解调器
software protection	软件保护
domestic	国内
flood attack mitigation	淹没攻击缓解
enhanced key usage	增强型密钥使用
EKU	EKU
characters per inch	每英寸字符数
Aero Wizard	Aero 向导
block	数据块
staging	暂存
homogeneous data	同类数据
distribution point	分发点
Multipurpose Internet Mail Extensions mapping	多用途 Internet 邮件扩展映射
MIME mapping	MIME 映射
virtual memory	虚拟内存
property page	属性页
Enter remote call control URI	输入远程呼叫控制 URI
infrared port	红外端口
asynchronous communication	异步通信
on-account payment	分期付款交易记录
virtual log file	虚拟日志文件
license set	许可协议集
XML schema	XML 架构
XML schema definition language	XML 架构定义语言
XSD	XSD
computer audio	计算机音频
VoIP	VoIP
Voice over Internet Protocol	IP 语音
sparse array	稀疏矩阵
account	客户
business account	业务往来联系人
data binding	数据绑定
bounce message	退回邮件
line	行
nuker	nuker
graphics platform	图形平台
system-preferred interface language	系统首选界面语言
functionality	功能
event registration item	事件注册项
multicast heartbeat	多播检测信号
view box	查看框
tracking	跟踪
Visual Basic	Visual Basic
VB	VB
gridline	网格线
security policy	安全策略
time intelligence	时间智能
script	脚本
mouse click	鼠标单击
phone call	电话联络
active color	当前颜色
accrued cost	应计成本
network adapter	网络适配器
nchar	nchar
unlock	解除锁定
price list item	价目表项
JIT debugging	JIT 调试
just-in-time debugging	实时调试
safety stock	安全库存
Start Microsoft Office Live Meeting	启动 Microsoft Office Live Meeting
comparison criteria	比较条件
SIMM	SIMM
single inline memory module	单列直插内存模块
Blu-ray Disc	蓝光光盘
badwill	负商誉
cut	剪切
net	净
BizTalk Framework	BizTalk 框架
catalog schema	目录构架
validation formula	验证公式
video present network	视频呈现网络
VidPN	VidPN
presence awareness	显示联机状态
caption text	描述文字
caption	标题
report signature	报表签名
constructor	构造函数
dial location	拨号位置
multitasking	多任务
compression filter	压缩筛选器
chronicle	历史记录
Mediation Server	中介服务器
field data type	字段数据类型
data type	数据类型
CD-ROM	CD-ROM
compact disc read-only memory	光盘只读存储器
recovery agent	恢复代理
Active Directory Lightweight Directory Services instance	Active Directory 轻型目录服务实例
AD LDS instance	AD LDS 实例
audit	审核
identification	标识
Anonymous authentication	匿名身份验证
Application Object Tree	应用程序对象树
AOT	AOT
NFS client	NFS 客户端
genlocking	同步刷新率
data definition	数据定义
showplan	显示计划
mobile PC	移动电脑
visualization	可视化
stress test	压力测试
SBCS	SBCS
single-byte character set	单字节字符集
aggregation wrapper	聚合包装器
dynamic recovery	动态恢复
snooze	推迟
record format	记录格式
Create Console Scope Wizard	创建控制台作用域向导
Strategic Merger or Acquisition Evaluation	战略合并或收购评估
candidate key	候选键
lift chart	提升图
unary operator	一元运算符
share	共享
responder	响应方
SSP	SSP
security support provider	安全支持提供程序
Trance	冥想
cost template	成本模板
HTML Viewer	HTML 查看器
unbound object frame	未绑定对象框
Manually Configure Phone Integration	手动配置电话集成
Connect	连接
Event Viewer	事件查看器
publication access list	发布访问列表
PAL	PAL
BAM Definition	BAM 定义
hyperlink base	超链接基础
loop	循环
binding time	汇集时间
public key algorithm	公钥算法
data point	数据点
storage	存储
Change Sign-In Account...	更改登录帐户
Courier Sender	媒体发送程序
Microsoft Outlook Web App	Microsoft Outlook Web App
Outlook Web App	Outlook Web App
intercompany purchase order invoice	内部公司采购订单发票
localized version	本地化版本
parallel device	并行设备
LPT device	并行设备
items control	项目控件
validation rule	验证规则
shift	移动
SBD	SBD
Space Bitmap Descriptor	空间位图描述符
domain controller	域控制器
DC	DC
account policy	帐户策略
Sexual Violence	性暴力
absolute path	绝对路径
factorial	阶乘
database connection endpoint	数据库连接终结点
vertical bar	垂直条
VERTICAL LINE	竖线
pipe	管道
constructed generic type	构造泛型类型
deployment	部署
site collection	网站集
clickstream analysis	点击流分析
missed conversation	错过的对话
cross reference object	交叉引用对象
work center	工作中心
Message Facts cube	消息事实多维数据集
self-service user	自助服务用户
user principal name suffix	用户主体名称后缀
frame format	帧格式
frame type	帧类型
eBook	电子图书
callgraph analysis	调用图分析
bridged transaction	过渡交易
interface	界面
public name suffix	公用名称后缀
equal sign	等于号
proof of purchase	购买证明
interoperability	互操作性
ambient light	环境光
Group Policy Management Console	组策略管理控制台
GPMC	GPMC
binary transfer	二进制传送
LF	LF
line feed	换行
Diagnostics	诊断
Windows Diagnostics	Windows 诊断
off-axis	离轴
shared database	共享的数据库
buffer overrun	缓冲区溢出
install	安装
polymorphic code	多变代码
Operations console	操作控制台
placeholder	占位符
full screen	全屏幕
Internet account	Internet 帐户
background handles	背景句柄
Base	基准
disable	禁用
Windows Mobile Member Center	Windows 会员中心
backbone router	主干路由器
Document Inspector	文档检查器
disc	光盘
campaign response	市场活动响应
Dashboard Web Preview	仪表板 Web 预览
budget allocated	预算分配
matrix organization	矩阵组织
delivery protocol	传递协议
brand name	品牌名
parse	分析
disk	磁盘
local computer	本地计算机
local machine	本地计算机
global shortcut menu	全局快捷菜单
ANSI SQL query mode	ANSI SQL 查询模式
Marketing Campaign	市场营销活动
apply	应用
secured connection	安全连接
content control	内容控件
drag-and-drop	拖放
Allotments Used	已用服务配额
mailer	米虫病毒
tail-log backup	结尾日志备份
highlighter setting	荧光笔设置
console scope	控制台作用域
message window	消息窗口
schedule	调度
signature line	签名行
encapsulation	封装
reference	引用
indexed sequential access method	索引顺序访问方法
ISAM	ISAM
ABR	ABR
area border router	区域边界路由器
database file	数据库文件
least-squares method	最小二乘法
cold	无兴趣
Business Rule Engine	业务规则引擎
storage card	存储卡
memory card	内存卡
keyword	关键字
Jazz+Funk	爵士+疯克
dial	拨号
icon	图标
IEC	IEC
International Electrotechnical Commission	国际电工委员会
type	类型
self-service registration model	自助注册模式
demand-dial interface	请求拨号接口
drive	驱动器
Program Compatibility Assistant	程序兼容性助手
PCA	PCA
dialog bar	对话栏
search engine	搜索引擎
star query	星型查询
Parental Guidance (BBFC)	家长指导(BBFC)
repository	存储库
Contacts list	联系人列表
contact list	联系人列表
keyboard shortcut	键盘快捷方式
data source view	数据源视图
Bebob	Bebob
Windows System Assessment Tool	Windows 系统评估工具
WinSAT	WinSAT
open path	开放路径
administrative alert	管理警报
hardware version	硬件版本
label	标签
Office Communications Server	Office Communications Server
print	打印
custom group field	自定义组字段
assign	分配
transparent	透明
duplicate	副本
absolute link	绝对链接
POP3	POP3
Post Office Protocol version 3	邮局协议 3
share name	共享名
record length	记录长度
front-end/back-end application	前端/后端应用程序
analog data	模拟数据
